,Date,Actual,Predicted,Lower,Upper
71,2009.11.18,10426.30957,10251.564075601462,9887.075633116685,10678.903321710552
72,2009.11.19,10332.44043,10273.012244954289,9853.63686608425,10720.588772136716
73,2009.11.20,10318.160156,10311.964085757414,9875.66046698272,10752.689838074872
74,2009.11.23,10450.950195,10323.668270545175,9887.1701177907,10762.850666476541
75,2009.11.24,10433.709961,10356.785466434172,9955.56603882843,10786.364808547622
76,2009.11.25,10464.400391,10338.790610129587,9916.030540922386,10748.60564543991
77,2009.11.27,10309.919922,10394.025611885168,9944.391632334946,10823.111761849446
78,2009.11.30,10344.839844,10401.030950654904,9978.979030232274,10832.693936641854
79,2009.12.01,10471.580078,10438.191528505573,10019.584059038842,10857.486174398531
80,2009.12.02,10452.679688,10422.351145445818,9971.091258472621,10853.920159852287
